Ranking	Car_ID	Year	Make	Model	Total
156	212	2001	Lexus	Is300	6
157	40	2007	Subaru	Legacy	6
158	71	2008	Acura	TL	6
159	64	2004	Subaru	Forester	6
160	75	2012	Subaru	WRX	6
161	72	2016	Honda	Civic si	4
162	174	2006	Acura	Rsx	4
163	66	2010	Volkswagen	Gti	4
164	197	2010	Audi	A4	2
165	0	2015	Chevy	Camaro	0
166	70	2014	Honda	Civic	0
167	101	2014	Honda	Civic	0
